company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,Industrials,1,Defensive Dividend Payers,0.4632
ADANIENSOL,Adani Energy Solutions Ltd,Energy,4,Emerging Growth,0.6103
ADANIENT,Adani Enterprises Ltd,Industrials,4,Emerging Growth,0.6415
ADANIGREEN,Adani Green Energy Ltd,Energy,4,Emerging Growth,2.6152
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,3,Distressed or Turnaround,1.13
ADANIPOWER,Adani Power Ltd,Energy,1,Defensive Dividend Payers,0.5109
AMBUJACEM,Ambuja Cements Ltd,Materials,1,Defensive Dividend Payers,0.935
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,1,Defensive Dividend Payers,0.4947
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,1,Defensive Dividend Payers,0.5277
ATGL,Adani Total Gas Ltd,Energy,4,Emerging Growth,0.7778
AXISBANK,Axis Bank Ltd,Financials,2,Value Cyclicals,1.7306
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,1,Defensive Dividend Payers,0.6767
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2,Value Cyclicals,1.3953
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,3,Distressed or Turnaround,0.9888
BAJFINANCE,Bajaj Finance Ltd,Financials,2,Value Cyclicals,2.0971
BANKBARODA,Bank of Baroda,Financials,2,Value Cyclicals,1.8876
BEL,Bharat Electronics Ltd,Industrials,0,High-Quality Compounders,0.697
BHARTIARTL,Bharti Airtel Ltd,Communication Services,3,Distressed or Turnaround,1.5999
BHEL,"Bharat Heavy Electricals Limited
",Industrials,1,Defensive Dividend Payers,2.2966
BOSCHLTD,Bosch Ltd,Consumer Discretionary,1,Defensive Dividend Payers,1.0378
BPCL,Bharat Petroleum Corporation Ltd,Energy,1,Defensive Dividend Payers,0.7168
BRITANNIA,Britannia Industries Ltd,Consumer Staples,1,Defensive Dividend Payers,0.2736
CANBK,Canara Bank,Financials,2,Value Cyclicals,2.59
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2,Value Cyclicals,1.0776
CIPLA,"Cipla Ltd
",Healthcare,3,Distressed or Turnaround,0.477
COALINDIA,Coal India Ltd,Materials,3,Distressed or Turnaround,0.5874
DABUR,Dabur India Ltd,Consumer Staples,1,Defensive Dividend Payers,0.5782
DIVISLAB,Divis Laboratories Ltd,Healthcare,1,Defensive Dividend Payers,0.6748
DLF,DLF Ltd,Real Estate,1,Defensive Dividend Payers,2.1642
DMART,Avenue Supermarts Ltd,Consumer Discretionary,4,Emerging Growth,1.276
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,1,Defensive Dividend Payers,0.402
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,1,Defensive Dividend Payers,0.4678
GAIL,GAIL (India) Ltd,Energy,1,Defensive Dividend Payers,1.4827
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,1,Defensive Dividend Payers,0.8568
GRASIM,Grasim Industries Ltd,Industrials,1,Defensive Dividend Payers,1.5696
HAL,Hindustan Aeronautics Ltd,Industrials,0,High-Quality Compounders,0.697
HAVELLS,Havells India Ltd,Industrials,1,Defensive Dividend Payers,0.6818
HCLTECH,HCL Technologies Ltd,Information Technology,1,Defensive Dividend Payers,0.7114
HDFCBANK,HDFC Bank Ltd,Financials,1,Defensive Dividend Payers,2.388
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,3,Distressed or Turnaround,1.1744
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,3,Distressed or Turnaround,1.4423
HINDALCO,Hindalco Industries Ltd,Materials,3,Distressed or Turnaround,0.64
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,3,Distressed or Turnaround,0.2894
ICICIBANK,ICICI Bank Ltd,Financials,2,Value Cyclicals,1.7332
