company_id,broad_sector,cfo_operating_activity,cff_financing_activity,net_profit,year
AXISBANK,Financials,-5555.0,22341.0,26386,2024-03
BAJAJFINSV,Financials,-68674.0,82709.0,16520,2024-03
BAJFINANCE,Financials,-72760.0,82415.0,15389,2024-03
BANKBARODA,Financials,-6274.0,5476.0,20144,2024-03
BHEL,Industrials,-3713.0,2656.0,445,2024-03
CHOLAFIN,Financials,-35683.0,38471.0,3852,2024-03
GRASIM,Industrials,-10719.0,33908.0,8693,2024-03
M&M,Consumer Discretionary,-5630.0,12281.0,13009,2024-03
PFC,Financials,-97820.0,101261.0,28248,2024-03
PNB,Financials,-27939.0,3518.0,14535,2024-03
RECLTD,Financials,-57723.0,59588.0,14885,2024-03
SHRIRAMFIN,Financials,-31101.0,27609.0,9454,2024-03
TVSMOTOR,Consumer Discretionary,-1253.0,2759.0,2094,2024-03
