table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-08-13 23:18:16,0.001
sectors,92,92,0,2026-08-13 23:18:16,0.002
profitandloss,1276,1073,203,2026-08-13 23:18:16,0.003
balancesheet,1312,1140,172,2026-08-13 23:18:16,0.004
cashflow,1187,1056,131,2026-08-13 23:18:16,0.004
analysis,20,16,4,2026-08-13 23:18:16,0.002
documents,1585,1456,129,2026-08-13 23:18:16,0.003
prosandcons,16,14,2,2026-08-13 23:18:16,0.002
stock_prices,5520,5520,0,2026-08-13 23:18:16,0.003
market_cap,552,552,0,2026-08-13 23:18:16,0.002
peer_groups,56,56,0,2026-08-13 23:18:16,0.001
financial_ratios,1184,1155,29,2026-08-13 23:18:16,0.05
