company_id,previous_pattern,current_pattern,year
ABB,Reinvestor,Pre-Revenue,2024-09
ADANIENSOL,Reinvestor,Pre-Revenue,2024-09
ADANIENT,Mixed,Pre-Revenue,2024-09
ADANIGREEN,Mixed,Pre-Revenue,2024-09
ADANIPORTS,Reinvestor,Pre-Revenue,2024-09
ADANIPOWER,Liquidating Assets,Pre-Revenue,2024-09
AMBUJACEM,Mixed,Pre-Revenue,2024-09
APOLLOHOSP,Reinvestor,Pre-Revenue,2024-09
ASIANPAINT,Reinvestor,Pre-Revenue,2024-09
AXISBANK,Mixed,Growth Funded by Debt,2024-03
BAJAJ-AUTO,Reinvestor,Pre-Revenue,2024-09
BAJAJFINSV,Growth Funded by Debt,Pre-Revenue,2024-09
BAJAJHLDNG,Reinvestor,Pre-Revenue,2024-09
BAJFINANCE,Growth Funded by Debt,Pre-Revenue,2024-09
BANKBARODA,Pre-Revenue,Growth Funded by Debt,2024-03
BEL,Reinvestor,Pre-Revenue,2024-09
BHARTIARTL,Reinvestor,Pre-Revenue,2024-09
BHEL,Distress Signal,Pre-Revenue,2024-09
BOSCHLTD,Liquidating Assets,Pre-Revenue,2024-09
BPCL,Reinvestor,Pre-Revenue,2024-09
BRITANNIA,Liquidating Assets,Pre-Revenue,2024-09
CANBK,Growth Funded by Debt,Shareholder Returns,2024-03
CHOLAFIN,Growth Funded by Debt,Pre-Revenue,2024-09
CIPLA,Reinvestor,Pre-Revenue,2024-09
COALINDIA,Reinvestor,Pre-Revenue,2024-09
DABUR,Reinvestor,Pre-Revenue,2024-09
DIVISLAB,Reinvestor,Pre-Revenue,2024-09
DLF,Mixed,Pre-Revenue,2024-09
DMART,Reinvestor,Pre-Revenue,2024-09
DRREDDY,Reinvestor,Pre-Revenue,2024-09
EICHERMOT,Reinvestor,Pre-Revenue,2024-09
GAIL,Reinvestor,Pre-Revenue,2024-09
GODREJCP,Mixed,Pre-Revenue,2024-09
GRASIM,Growth Funded by Debt,Pre-Revenue,2024-09
HAL,Reinvestor,Pre-Revenue,2024-09
HAVELLS,Reinvestor,Pre-Revenue,2024-09
HCLTECH,Reinvestor,Pre-Revenue,2024-09
HDFCBANK,Mixed,Liquidating Assets,2024-03
HDFCLIFE,Reinvestor,Pre-Revenue,2024-09
HEROMOTOCO,Reinvestor,Pre-Revenue,2024-09
HINDALCO,Reinvestor,Pre-Revenue,2024-09
HINDUNILVR,Reinvestor,Pre-Revenue,2024-09
ICICIBANK,Growth Funded by Debt,Mixed,2024-03
ICICIGI,Reinvestor,Pre-Revenue,2024-09
ICICIPRULI,Mixed,Pre-Revenue,2024-09
INDIGO,Reinvestor,Pre-Revenue,2024-09
INDUSINDBK,Growth Funded by Debt,Pre-Revenue,2024-03
INFY,Reinvestor,Pre-Revenue,2024-09
IOC,Reinvestor,Pre-Revenue,2024-09
IRCTC,Reinvestor,Pre-Revenue,2024-09
IRFC,Reinvestor,Pre-Revenue,2024-09
ITC,Liquidating Assets,Pre-Revenue,2024-09
JINDALSTEL,Mixed,Pre-Revenue,2024-09
JIOFIN,Mixed,Pre-Revenue,2024-09
JSWENERGY,Mixed,Pre-Revenue,2024-09
JSWSTEEL,Reinvestor,Pre-Revenue,2024-09
KOTAKBANK,Growth Funded by Debt,Mixed,2024-03
LICI,Reinvestor,Pre-Revenue,2024-09
LODHA,Mixed,Pre-Revenue,2024-09
LT,Liquidating Assets,Pre-Revenue,2024-09
LTIM,Reinvestor,Pre-Revenue,2024-09
M&M,Growth Funded by Debt,Pre-Revenue,2024-09
MARUTI,Reinvestor,Pre-Revenue,2024-09
MOTHERSON,Mixed,Pre-Revenue,2024-09
NAUKRI,Mixed,Pre-Revenue,2024-09
NESTLEIND,Reinvestor,Pre-Revenue,2024-09
NHPC,Reinvestor,Pre-Revenue,2024-09
NTPC,Reinvestor,Pre-Revenue,2024-09
ONGC,Reinvestor,Pre-Revenue,2024-09
PFC,Growth Funded by Debt,Pre-Revenue,2024-09
PIDILITIND,Reinvestor,Pre-Revenue,2024-09
PNB,Mixed,Growth Funded by Debt,2024-03
POWERGRID,Reinvestor,Pre-Revenue,2024-09
RECLTD,Growth Funded by Debt,Pre-Revenue,2024-09
RELIANCE,Reinvestor,Pre-Revenue,2024-09
SBILIFE,Reinvestor,Pre-Revenue,2024-09
SBIN,Growth Funded by Debt,Shareholder Returns,2024-03
SHREECEM,Reinvestor,Pre-Revenue,2024-09
SHRIRAMFIN,Growth Funded by Debt,Pre-Revenue,2024-09
SUNPHARMA,Reinvestor,Pre-Revenue,2024-09
TATACONSUM,Mixed,Pre-Revenue,2024-09
TATAMOTORS,Reinvestor,Pre-Revenue,2024-09
TATAPOWER,Reinvestor,Pre-Revenue,2024-09
TATASTEEL,Reinvestor,Pre-Revenue,2024-09
TCS,Liquidating Assets,Pre-Revenue,2024-09
TECHM,Reinvestor,Pre-Revenue,2024-09
TITAN,Reinvestor,Pre-Revenue,2024-09
TORNTPHARM,Reinvestor,Pre-Revenue,2024-09
TRENT,Reinvestor,Pre-Revenue,2024-09
TVSMOTOR,Growth Funded by Debt,Pre-Revenue,2024-09
