metric,count,mean,std,P10,P25,P50_median,P75,P90
return_on_equity_pct,90,97.66,538.6,7.23,10.71,14.35,20.17,32.36
return_on_capital_employed_pct,88,155.47,703.13,3.16,5.92,11.32,23.51,126.46
net_profit_margin_pct,90,24.27,99.03,2.13,5.75,12.46,19.66,27.84
debt_to_equity,90,1.85,3.05,0.01,0.06,0.51,1.7,6.58
free_cash_flow_cr,90,-2381.77,20823.26,-26616.1,-2082.5,800.5,4381.0,15038.3
revenue_cagr_5yr,90,13.73,7.29,5.63,9.88,14.17,16.05,21.01
pat_cagr_5yr,79,15.02,19.5,-6.2,6.67,13.25,23.85,35.17
eps_cagr_5yr,78,12.12,17.33,-7.9,5.11,10.8,18.03,31.6
interest_coverage,87,67.32,177.88,1.84,3.32,12.89,52.54,154.26
asset_turnover,89,3.82,17.35,0.08,0.2,0.7,1.12,1.53
